Cas,Temperatura (2m),Relativna vlaga (2m),Temperatura rosisca (2m),Obcutna temperatura,Verjetnost padavin,Stevilo nesrec,Average speed,FRC,Free flow speed,Current travel time,Free flow travel time,Confidence,Road closure
2024-05-27T16:00,18.4,100,18.4,18.5,45,3,12,FRC3,21,37,21,1,False
2024-05-27T16:00,18.4,100,18.4,18.5,45,3,12,FRC3,21,37,21,1,False
2024-05-27T17:00,18.3,100,18.3,18.7,52,3,13,FRC3,20,34,22,1,False
2024-05-27T19:00,23.5,74,18.6,23.9,74,5,21,FRC3,21,21,21,1,False
2024-05-28T09:00,19.0,94,18.0,20.5,13,3,21,FRC3,21,21,21,1,False
2024-05-28T09:00,19.0,94,18.0,20.5,13,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,96,18.6,21.4,6,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,96,18.6,21.4,6,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,96,18.6,21.4,6,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,96,18.6,21.4,6,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,96,18.6,21.4,6,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,96,18.6,21.4,6,3,21,FRC3,21,21,21,1,False
2024-05-28T11:00,19.4,95,18.6,21.1,4,9,21,FRC3,21,21,21,1,False
2024-05-28T11:00,19.4,95,18.6,21.1,4,11,21,FRC3,21,21,21,1,False
2024-05-28T11:00,19.4,95,18.6,21.1,4,15,21,FRC3,21,21,21,1,False
2024-05-28T11:00,19.4,95,18.6,21.1,4,10,21,FRC3,21,21,21,1,False
2024-05-28T11:00,19.4,95,18.6,21.1,4,12,21,FRC3,21,21,21,1,False
2024-05-28T16:00,23.4,55,13.9,23.5,0,27,21,FRC3,21,21,21,1,False
2024-05-28T16:00,23.4,55,13.9,23.5,0,29,21,FRC3,21,21,21,1,False
2024-05-28T16:00,23.4,55,13.9,23.5,0,33,21,FRC3,21,21,21,1,False
2024-05-28T16:00,23.4,55,13.9,23.5,0,22,16,FRC3,20,28,22,1,False
2024-05-28T17:00,25.3,48,13.5,25.3,0,23,14,FRC3,21,32,21,1,False
2024-05-28T17:00,25.3,48,13.5,25.3,0,24,12,FRC3,20,37,22,1,False
